Wed Aug 16 14:33:13 2017    profile.cprof

         133655314 function calls (133649116 primitive calls) in 433.078 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
     2852    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 pgen.py:107(addfirstsets)
     1224    0.001    0.000    0.001    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.001    0.001 cookielib.py:1217(CookieJar)
     1638    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nx_yaml.py:15(<module>)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7f4bf229bc80}
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      485    0.000    0.000    0.000    0.000 urls.py:38(<genexpr>)
     1470    0.000    0.000    0.000    0.000 {setattr}
       91    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       88    0.000    0.000    0.000    0.000 {all}
        2    0.000    0.000    0.000    0.000 urls.py:619(iri_to_uri)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
    98/52    0.000    0.000    0.000    0.000 pgen.py:115(calcfirst)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 edgelist.py:28(<module>)
        1    0.000    0.000    0.000    0.000 stochastic.py:4(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:11(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 multiline_adjlist.py:27(<module>)
      646    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 convert_matrix.py:22(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 maxflow.py:4(<module>)
        1    0.000    0.000    0.000    0.000 nx_agraph.py:17(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 algebraicconnectivity.py:86(_CholeskySolver)
        1    0.000    0.000    0.000    0.000 recognition.py:75(<module>)
      116    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:11(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stoerwagner.py:4(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       87    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 pajek.py:14(<module>)
        1    0.000    0.000    0.000    0.000 clique.py:13(<module>)
        1    0.000    0.000    0.000    0.000 local.py:10(<module>)
        1    0.000    0.000    0.000    0.000 gpickle.py:22(<module>)
       96    0.000    0.000    0.000    0.000 db_builder.py:873(__init__)
        1    0.000    0.000    0.000    0.000 algebraicconnectivity.py:105(_LUSolver)
      162    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
        1    0.000    0.000    0.000    0.000 {posix.popen}
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        1    0.000    0.000    0.000    0.000 driver.py:12(<module>)
     2543    0.000    0.000    0.000    0.000 {chr}
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      736    0.000    0.000    0.000    0.000 {hasattr}
      734    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctx.py:393(__exit__)
        1    0.000    0.000    0.000    0.000 kcomponents.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ctx.py:381(auto_pop)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 cli.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
     1578    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 vf2userfunc.py:32(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:2039(_match_arguments_partial)
       36    0.000    0.000    0.000    0.000 argparse.py:1508(_add_action)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
       98    0.000    0.000    0.000    0.000 pgen.py:176(closure)
        1    0.000    0.000    0.000    0.000 capacityscaling.py:4(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
        1    0.000    0.000    0.000    0.000 function.py:2(<module>)
        1    0.000    0.000    0.000    0.000 simple_paths.py:6(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
       80    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 case.py:1(<module>)
